DRIVER_ID,DRIVER,DRIVER_CODE,CONSTRUCTOR_ID,CONSTRUCTOR,RACE_ID,RACE,YEAR,AVG_LAP_TIME,GAP_TO_FASTEST
815,Sergio Pérez,PER,10,Force India,953,Monaco Grand Prix,2016,92089.205128,0.177243590000
1,Lewis Hamilton,HAM,131,Mercedes,954,Canadian Grand Prix,2016,78075.657143,0.000000000000
57,Mika Häkkinen,HÄK,1,McLaren,146,Austrian Grand Prix,2001,446036.000000,371.868014085000
15,Jarno Trulli,TRU,17,Jordan,148,Canadian Grand Prix,2001,83693.698413,1.970698413000
59,Enrique Bernoldi,BER,21,Arrows,148,Canadian Grand Prix,2001,87967.708333,6.244708333000
21,Giancarlo Fisichella,FIS,22,Benetton,149,European Grand Prix,2001,82783.000000,2.443835821000
17,Mark Webber,WEB,18,Minardi,125,Malaysian Grand Prix,2002,106727.058824,5.782201681000
56,Eddie Irvine,IRV,19,Jaguar,126,Brazilian Grand Prix,2002,79454.457143,1.938076861000
66,Allan McNish,MCN,7,Toyota,129,Austrian Grand Prix,2002,80299.732394,5.728914212000
31,Juan Pablo Montoya,MON,3,Williams,130,Monaco Grand Prix,2002,81876.717391,0.606781494000
21,Giancarlo Fisichella,FIS,17,Jordan,130,Monaco Grand Prix,2002,82420.623377,1.150687480000
56,Eddie Irvine,IRV,19,Jaguar,134,French Grand Prix,2002,78070.576923,1.267285256000
18,Jenson Button,BUT,4,Renault,137,Belgian Grand Prix,2002,112289.000000,1.365500000000
62,Alex Yoong,YOO,18,Minardi,140,Japanese Grand Prix,2002,103472.928571,4.988060646000
17,Mark Webber,WEB,18,Minardi,140,Japanese Grand Prix,2002,102776.039216,4.291171291000
43,Cristiano da Matta,DA ,7,Toyota,114,Monaco Grand Prix,2003,80577.948052,1.872691642000
21,Giancarlo Fisichella,FIS,17,Jordan,116,European Grand Prix,2003,98752.672414,4.025639081000
